,car_type,firm,area,km,cost,year of prudaction,time of ad
58,רכב פרטי,יונדאי - i20,חיפה וחוף הכרמל,7646,"86,000 ₪",2021,4 דקות 
59,רכב פרטי,טויוטה - אוריס,חולון - בת ים,146000,"50,000 ₪",2012,3 ימים 
60,רכב פרטי,אלפא רומאו - ג’ולייטה,ירושלים והסביבה,83000,"86,000 ₪",2017,3 ימים 
61,רכב פרטי,פיג’ו - 2008,נס ציונה - רחובות,88000,"49,000 ₪",2016,3 ימים 
62,רכב פרטי,יונדאי - i20,תל אביב,151100,"27,000 ₪",2012,3 ימים 
63,רכב פרטי,קיה - פיקנטו,חולון - בת ים,83000,"66,900 ₪",2018,3 ימים 
64,רכב פרטי,סקודה - אוקטביה,נתניה והסביבה,84000,"65,000 ₪",2016,4 דקות 
65,רכב פרטי,יונדאי - i10,חולון - בת ים,136500,"23,000 ₪",2014,3 ימים 
66,רכב פרטי,הונדה - סיוויק האצ’בק החדשה,עכו - נהריה,190000,"25,000 ₪",2010,4 דקות 
67,רכב פרטי,שברולט - אקווינוקס,ירושלים והסביבה,26000,"152,000 ₪",2020,3 ימים 
68,רכב פרטי,סיטרואן - C אליזה,מושבים בצפון,118000,"17,000 ₪",2013,3 ימים 
69,רכב פרטי,פורד - מונדאו,טבריה והסביבה,214000,"9,500 ₪",2009,3 ימים 
70,רכב פרטי,טויוטה - C-HR,קריות,40000,"127,000 ₪",2018,3 ימים 
71,רכב פרטי,רנו - גרנד קופה,חיפה וחוף הכרמל,103000,"93,000 ₪",2017,4 דקות 
72,רכב פרטי,סוזוקי - קרוסאובר,חיפה וחוף הכרמל,27275,"105,000 ₪",2019,4 דקות 
73,רכב פרטי,רנו - קפצ’ור,מושבים בשרון,76000,"69,000 ₪",2018,4 דקות 
74,רכב פרטי,מאזדה - 2,חולון - בת ים,4000,"94,000 ₪",2021,110 ימים 
75,רכב פרטי,וולוו - S60,חיפה וחוף הכרמל,110000,"27,000 ₪",2009,3 ימים 
76,רכב פרטי,רנו - קליאו אסטייט,חיפה וחוף הכרמל,127000,"36,000 ₪",2016,3 ימים 
77,רכב פרטי,קיה - סול,חיפה וחוף הכרמל,135000,"35,000 ₪",2012,4 דקות 
78,רכב פרטי,רנו - קליאו,בקעת אונו,90500,"43,000 ₪",2016,3 ימים 
79,רכב פרטי,סקודה - פאביה,מושבים בשרון,48000,"71,000 ₪",2017,4 דקות 
80,רכב פרטי,יונדאי - i30cw,בקעת אונו,271000,"18,500 ₪",2010,2 ימים 
